[2025-09-06T10:05:57.117Z] [INFO] Processing file: drug-label-0001-of-0013.json
[2025-09-06T10:05:57.126Z] [ERROR] Error in uncaught exception: The "chunk" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
[2025-09-06T13:06:50.605050] [INFO] Starting FDA drug label processing with Python
[2025-09-06T13:06:50.605675] [INFO] Found 13 JSON files to process
[2025-09-06T13:06:50.605766] [INFO] 
=== Processing file 1/13: drug-label-0001-of-0013.json ===
[2025-09-06T13:06:53.885976] [INFO] Processing chunk 103/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886079] [INFO] Processing chunk 104/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886175] [INFO] Processing chunk 105/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886270] [INFO] Processing chunk 106/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886364] [INFO] Processing chunk 107/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886464] [INFO] Processing chunk 108/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886560] [INFO] Processing chunk 109/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886655] [INFO] Processing chunk 110/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886752] [INFO] Processing chunk 111/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886850] [INFO] Processing chunk 112/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886944] [INFO] Processing chunk 113/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887037] [INFO] Processing chunk 114/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887129] [INFO] Processing chunk 115/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887224] [INFO] Processing chunk 116/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887316] [INFO] Processing chunk 117/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887408] [INFO] Processing chunk 118/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887502] [INFO] Processing chunk 119/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887600] [INFO] Processing chunk 120/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887694] [INFO] Processing chunk 121/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887788] [INFO] Processing chunk 122/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.887955] [INFO] Processing chunk 123/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.888051] [INFO] Processing chunk 124/400 from drug-label-0001-of-0013.json
